DEALER_CODE,DEALER_DESC,AREA,REGION,SALES_OFFICE
J182,TANJUNG ENIM,SUMATERA,PALEMBANG,0F63
J183,TANJUNG REDEB,NORTHERN KALIMANTAN,BALIKPAPAN,0G56
J185,CILEGON,JAVA,JAKARTA,0A25
J186,NABIRE,EAST INDONESIA,SORONG,0B53
J187,KUPANG,JAVA,SURABAYA,0A03
J192,PONTIANAK,SOUTHERN KALIMANTAN,PONTIANAK,0A37
J195,MAKASSAR,EAST INDONESIA,MAKASAR,0B41
J196,MANADO,EAST INDONESIA,MENADO,0B42
J197,BATAM,JAVA,BATAM,0A11
J198,JAMBI,SUMATERA,PALEMBANG,0F24
J199,TU SINGAPORE BRANCH,TUSB,SINGAPORE,1Z98
J19D,SAMPIT,SOUTHERN KALIMANTAN,BANJARMASIN,0H26
J19P,CRC BALIKPAPAN,PRODUCT SUPPORT,CRC,0W57
J19Q,EMP BALIKPAPAN,PRODUCT SUPPORT,EMP BALIKPAPAN,0G85
J19T,MRC BALIKPAPAN,PRODUCT SUPPORT,MRC,0W58
J19U,MRC KUALA KENCANA,TEMBAGAPURA,LOWLAND BUSINESS,0C90
J201,SOROAKO,EAST INDONESIA,SOROAKO,0B48
J210,TRAKINDO UTAMA,TRAKINDO UTAMA,TRAKINDO UTAMA,0Z02
J211,BALIKPAPAN,NORTHERN KALIMANTAN,BALIKPAPAN,0G31
J212,MEDAN,SUMATERA,PEKAN BARU,0F21
J213,TERNATE,EAST INDONESIA,MENADO,0B43
J214,PALEMBANG,SUMATERA,PALEMBANG,0F22
J215,PEKANBARU,SUMATERA,PEKAN BARU,0F19
J216,PADANG,SUMATERA,PEKAN BARU,0F18
J217,BANJARMASIN,SOUTHERN KALIMANTAN,BANJARMASIN,0H34
J218,SAMARINDA,NORTHERN KALIMANTAN,SAMARINDA,0G32
J219,TARAKAN,NORTHERN KALIMANTAN,BALIKPAPAN,0G33
J21G,TUE-TBHD-BATUHIJAU,MINING BHJ,BATU HIJAU,0R29
J21P,CSU MINING GRASSBERG,TEMBAGAPURA,HIGHLAND BUSINESS,0C49
J21Q,CSU MINING UNDERGROUND,TEMBAGAPURA,HIGHLAND BUSINESS,0C60
J21T,BATU KAJANG,SOUTHERN KALIMANTAN,TANJUNG,0H64
J21Y,PRABUMULIH,SUMATERA,PALEMBANG,0F39
J21Z,BATU LICIN,SOUTHERN KALIMANTAN,BANJARMASIN,0H45
J221,SURABAYA,JAVA,SURABAYA,0A07
J223,SORONG,EAST INDONESIA,SORONG,0B44
J224,BANGKA BELITUNG,SUMATERA,PALEMBANG,0F13
J225,AMBON,EAST INDONESIA,MAKASAR,0B77
J226,SEMARANG,JAVA,SURABAYA,0A06
J227,JAYAPURA,EAST INDONESIA,SORONG,0B46
J229,MERAUKE,EAST INDONESIA,SORONG,0B40
J22K,CIREBON,JAVA,JAKARTA,0A65
J22N,MELAK,NORTHERN KALIMANTAN,SAMARINDA,0G27
J22T,RANTAU SITE,SOUTHERN KALIMANTAN,BATU LICIN,0H86
J22U,BATU HIJAU,MINING BHJ,BATU HIJAU,0R59
J22W,MARTABE,SUMATERA,PEKAN BARU,0F09
J22X,JAKARTA,JAVA,JAKARTA,0A10
J237,KARIMUN,JAVA,BATAM,0A17
J241,BANDA ACEH,SUMATERA,PEKAN BARU,0F15
J242,PALU,EAST INDONESIA,MAKASAR,0B47
J243,BENGKULU,SUMATERA,PALEMBANG,0F28
J244,BANDAR LAMPUNG,SUMATERA,PALEMBANG,0F23
J245,GOSOWONG,EAST INDONESIA,MENADO,0B78
J248,TANJUNG ADARO,SOUTHERN KALIMANTAN,TANJUNG,0H35
J249,PANGKALAN BUN,SOUTHERN KALIMANTAN,BANJARMASIN,0H36
J359,CRC SAMARINDA,PRODUCT SUPPORT,CRC,0W30
J360,MANOKWARI,EAST INDONESIA,SORONG,0B54
J361,SANGATTA,NORTHERN KALIMANTAN,SANGATTA,0G38
J362,KENDARI,EAST INDONESIA,MAKASAR,0B51
J363,SATUI SITE,SOUTHERN KALIMANTAN,BATU LICIN,0H55
J367,KUALA KENCANA,TEMBAGAPURA,LOWLAND BUSINESS,0C50
J368,MATARAM,JAVA,SURABAYA,0A12
