SLAOFFID,SALES OFFICE,REGION,AREA
0R59,Batu Hijau,BATU HIJAU REGION,BATU HIJAU
0RA1,Batu Hijau Region,BATU HIJAU REGION,BATU HIJAU
88RP,Batu Hijau Service,BATU HIJAU REGION,BATU HIJAU
0R29,TUE-TBHD-BATUHIJAU,BATU HIJAU REGION,BATU HIJAU
0ZY5,Central Services,CENTRAL SERVICES,CENTRAL SERVICES
0ZY6,Central Services Area,CENTRAL SERVICES AREA,CENTRAL SERVICES
1B77,Ambon,CENTRAL SERVICES AREA,EAST INDONESIA
1SMI,Branch Transit Manokwari,CENTRAL SERVICES AREA,EAST INDONESIA
1B02,East Indonesia Office,CENTRAL SERVICES AREA,EAST INDONESIA
1B78,Gosowong,CENTRAL SERVICES AREA,EAST INDONESIA
1B46,Jayapura,CENTRAL SERVICES AREA,EAST INDONESIA
1B51,Kendari,CENTRAL SERVICES AREA,EAST INDONESIA
1A03,Kupang,CENTRAL SERVICES AREA,EAST INDONESIA
1B41,Makassar,CENTRAL SERVICES AREA,EAST INDONESIA
1B54,Manokwari,CENTRAL SERVICES AREA,EAST INDONESIA
1B42,Menado,CENTRAL SERVICES AREA,EAST INDONESIA
1B40,Merauke,CENTRAL SERVICES AREA,EAST INDONESIA
1B47,Palu,CENTRAL SERVICES AREA,EAST INDONESIA
1B48,Soroako,CENTRAL SERVICES AREA,EAST INDONESIA
1B44,Sorong,CENTRAL SERVICES AREA,EAST INDONESIA
1B43,Ternate,CENTRAL SERVICES AREA,EAST INDONESIA
0B02,East Indonesia,EAST INDONESIA,EAST INDONESIA
0B77,Ambon,MAKASSAR REGION,EAST INDONESIA
0B51,Kendari,MAKASSAR REGION,EAST INDONESIA
0B41,Makassar,MAKASSAR REGION,EAST INDONESIA
0BA1,Makassar Region,MAKASSAR REGION,EAST INDONESIA
41BH,Makassar Service,MAKASSAR REGION,EAST INDONESIA
0B47,Palu,MAKASSAR REGION,EAST INDONESIA
SCC41,SCC East Indonesia (Makassar),MAKASSAR REGION,EAST INDONESIA
1SMK,Transit Yard Makasar,MAKASSAR REGION,EAST INDONESIA
1SMN,Branch Transit Menado,MANADO REGION,EAST INDONESIA
0B78,Gosowong,MANADO REGION,EAST INDONESIA
0B42,Manado,MANADO REGION,EAST INDONESIA
0BA2,Manado Region,MANADO REGION,EAST INDONESIA
42BH,Manado Service,MANADO REGION,EAST INDONESIA
0B43,Ternate,MANADO REGION,EAST INDONESIA
0B03,Gorontalo,MANADO REGION,EAST INDONESIA
0B48,Soroako,SOROAKO REGION,EAST INDONESIA
0BA4,Soroako Region,SOROAKO REGION,EAST INDONESIA
02BZ,Soroako Service,SOROAKO REGION,EAST INDONESIA
1SJP,Branch Transit Jayapura,SORONG REGION,EAST INDONESIA
0B46,Jayapura,SORONG REGION,EAST INDONESIA
0B54,Manokwari,SORONG REGION,EAST INDONESIA
0B40,Merauke,SORONG REGION,EAST INDONESIA
0B53,Nabire,SORONG REGION,EAST INDONESIA
0B44,Sorong,SORONG REGION,EAST INDONESIA
0BA3,Sorong Region,SORONG REGION,EAST INDONESIA
44BH,Sorong Service,SORONG REGION,EAST INDONESIA
1A05,Bandung,CENTRAL SERVICES AREA,J A V A
1A11,Batam,CENTRAL SERVICES AREA,J A V A
1SJ1,Central Yard Cakung,CENTRAL SERVICES AREA,J A V A
1PLB,Central Yard Cakung Berikat,CENTRAL SERVICES AREA,J A V A
1SJ2,Central Yard Cileungsi,CENTRAL SERVICES AREA,J A V A
1SSB,Transit Yard Surabaya,CENTRAL SERVICES AREA,J A V A
1A14,Cilacap,CENTRAL SERVICES AREA,J A V A
1A25,Cilegon,CENTRAL SERVICES AREA,J A V A
1A65,Cirebon,CENTRAL SERVICES AREA,J A V A
1A62,Denpasar,CENTRAL SERVICES AREA,J A V A
1A16,Holcim Group,CENTRAL SERVICES AREA,J A V A
1A10,Jakarta,CENTRAL SERVICES AREA,J A V A
1A02,Java Area Office,CENTRAL SERVICES AREA,J A V A
1A17,Karimun,CENTRAL SERVICES AREA,J A V A
1A12,Mataram,CENTRAL SERVICES AREA,J A V A
1A06,Semarang,CENTRAL SERVICES AREA,J A V A
1A07,Surabaya,CENTRAL SERVICES AREA,J A V A
1A08,Tangerang,CENTRAL SERVICES AREA,J A V A
0AA2,East Java,EAST JAVA,J A V A
SCC08,SCC East Java,SCC EAST JAVA,J A V A
0A14,Cilacap,SURABAYA REGION,J A V A
0A62,Denpasar,SURABAYA REGION,J A V A
0A03,Kupang,SURABAYA REGION,J A V A
0A12,Mataram,SURABAYA REGION,J A V A
0W81,MiCRC Surabaya,SURABAYA REGION,J A V A
SCC07,SCC East Java (Surabaya),SURABAYA REGION,J A V A
0A06,Semarang,SURABAYA REGION,J A V A
0A07,Surabaya,SURABAYA REGION,J A V A
0AA3,Surabaya Region,SURABAYA REGION,J A V A
0A09,Tumpang Pitu,SURABAYA REGION,J A V A
0A04,Wetar,SURABAYA REGION,J A V A
0A05,Bandung,BANDUNG,J A V A
0A11,Batam,BATAM REGION,J A V A
0AA2,Batam Region,BATAM REGION,J A V A
0A17,Karimun,BATAM REGION,J A V A
0A08,Cibitung,CIBITUNG,J A V A
0A25,Cilegon,CILEGON,J A V A
0A65,Cirebon,CIREBON,J A V A
0A16,Holcim Group,HOLCIM GROUP,J A V A
0A10,Jakarta,JAKARTA,J A V A
0W76,Jakarta Mega Hub,JAKARTA MEGA HUB,J A V A
0A13,Cement Project,SCC WEST JAVA (BSD),J A V A
10HCD,PDI CENTRE ENGINE,SCC WEST JAVA (BSD),J A V A
10HCE,PDI CENTRE MACHINE,SCC WEST JAVA (BSD),J A V A
SCC10,SCC West Java (BSD),SCC WEST JAVA (BSD),J A V A
10HMB,Site Support Cemindo,SCC WEST JAVA (BSD),J A V A
16HMA,Site Support Holcim,SCC WEST JAVA (BSD),J A V A
10HMA,Site Support ITP,SCC WEST JAVA (BSD),J A V A
65HMA,Site Support Palimanan,SCC WEST JAVA (BSD),J A V A
10HMC,Site Support SCG,SCC WEST JAVA (BSD),J A V A
17HMA,Site Support Timah & PLN,SCC WEST JAVA (BSD),J A V A
05HCA,Zone Bandung,SCC WEST JAVA (BSD),J A V A
10HCC,Zone Bogor,SCC WEST JAVA (BSD),J A V A
10HCA,Zone BSD,SCC WEST JAVA (BSD),J A V A
08HCA,Zone Cikarang,SCC WEST JAVA (BSD),J A V A
25HCA,Zone Cilegon,SCC WEST JAVA (BSD),J A V A
65HCA,Zone Cirebon,SCC WEST JAVA (BSD),J A V A
10HCB,Zone Karanganyar,SCC WEST JAVA (BSD),J A V A
17HCA,Zone Karimun,SCC WEST JAVA (BSD),J A V A
0K02,Marketing Engine,CENTRAL SERVICES AREA,MAJOR ACCOUNT
0X02,Marketing Machine,CENTRAL SERVICES AREA,MAJOR ACCOUNT
0ZY1,Construction,CONSTRUCTION,MAJOR ACCOUNT
0ZY3,Forestry & Agriculture,FORESTRY & AGRICULTURE,MAJOR ACCOUNT
0ZY4,Government & BUMN,GOVERNMENT & BUMN,MAJOR ACCOUNT
0ZYY,Major Account,MAJOR ACCOUNT,MAJOR ACCOUNT
0ZY2,Mining,MINING,MAJOR ACCOUNT
0X52,Rental & Used Equipment,RENTAL & USED EQUIPMENT,MAJOR ACCOUNT
SCC02ZR,Marine Command Center,MARINE COMMAND CENTER,MARINE COMMAND CENTER
11HCN,Marine Depot Ambon,MARINE DEPOT AMBON,MARINE COMMAND CENTER
11HCK,Marine Depot Balikpapan,MARINE DEPOT BALIKPAPAN,MARINE COMMAND CENTER
11HCJ,Marine Depot Banjarmasin,MARINE DEPOT BANJARMASIN,MARINE COMMAND CENTER
11HCO,Marine Depot Denpasar,MARINE DEPOT DENPASAR,MARINE COMMAND CENTER
11HCA,Marine Depot Jakarta,MARINE DEPOT JAKARTA,MARINE COMMAND CENTER
11HCM,Marine Depot Kendari,MARINE DEPOT KENDARI,MARINE COMMAND CENTER
11HCD,Marine Depot Makassar,MARINE DEPOT MAKASSAR,MARINE COMMAND CENTER
11HCL,Marine Depot Manado,MARINE DEPOT MANADO,MARINE COMMAND CENTER
11HCP,Marine Depot Medan - ST21,MARINE DEPOT MEDAN - ST21,MARINE COMMAND CENTER
11HCH,Marine Depot Palembang,MARINE DEPOT PALEMBANG,MARINE COMMAND CENTER
11HCI,Marine Depot Pontianak,MARINE DEPOT PONTIANAK,MARINE COMMAND CENTER
11HCE,Marine Depot Samarinda,MARINE DEPOT SAMARINDA,MARINE COMMAND CENTER
11HCF,Marine Depot Sorong,MARINE DEPOT SORONG,MARINE COMMAND CENTER
11HCC,Marine Depot Surabaya,MARINE DEPOT SURABAYA,MARINE COMMAND CENTER
11HCG,Marine Services Commissioning Batam,MARINE SERVICES COMMISSIONING BATAM,MARINE COMMAND CENTER
11HCB,Marine Services Field Batam,MARINE SERVICES FIELD BATAM,MARINE COMMAND CENTER
11HBA,Marine Services Workshop Batam,MARINE SERVICES WORKSHOP BATAM,MARINE COMMAND CENTER
1G31,Balikpapan,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1SBA,Balikpapan Aliong,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1SBD,Balikpapan Depo,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1G69,Bengalon,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1G27,Melak,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1G02,Northern Kalimantan Area,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1LBB,Pusat Logistik Berikat BPN,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1G32,Samarinda,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1G38,Sangatta,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1G56,Tanjung Redeb,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
1G33,Tarakan,CENTRAL SERVICES AREA,NORTHERN KALIMANTAN
0G31,Balikpapan,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0GA1,Balikpapan Region,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0G85,BPN Kariangau,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0W57,CRC Balikpapan,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0G70,Lati,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0W58,MRC BALIKPAPAN,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0G56,Tanjung Redeb,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0G33,Tarakan,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0G03,Bontang,BALIKPAPAN REGION,NORTHERN KALIMANTAN
0G02,Northern Kalimantan,NORTHERN KALIMANTAN,NORTHERN KALIMANTAN
0W30,CRC SAMARINDA,SAMARINDA REGION,NORTHERN KALIMANTAN
0G04,Malinau Site,SAMARINDA REGION,NORTHERN KALIMANTAN
0G27,Melak,SAMARINDA REGION,NORTHERN KALIMANTAN
0G05,Samarinda Site,SAMARINDA REGION,NORTHERN KALIMANTAN
0G06,Separi Site,SAMARINDA REGION,NORTHERN KALIMANTAN
0G07,Tabang Site,SAMARINDA REGION,NORTHERN KALIMANTAN
0G32,Samarinda,SAMARINDA REGION,NORTHERN KALIMANTAN
0GA2,Samarinda Region,SAMARINDA REGION,NORTHERN KALIMANTAN
32GG,Samarinda Service,SAMARINDA REGION,NORTHERN KALIMANTAN
0G67,TDC Samarinda,SAMARINDA REGION,NORTHERN KALIMANTAN
0G69,Bengalon,SANGATTA REGION,NORTHERN KALIMANTAN
0G93,KPC,SANGATTA REGION,NORTHERN KALIMANTAN
0G38,Sangatta,SANGATTA REGION,NORTHERN KALIMANTAN
0GA3,Sangatta Region,SANGATTA REGION,NORTHERN KALIMANTAN
38GG,Sanggatta Service,SANGATTA REGION,NORTHERN KALIMANTAN
1PSE,Project Solution - EPG,CENTRAL SERVICES AREA,POWER SYSTEM SALES
2PSE,Project Solution - EPG,CENTRAL SERVICES AREA,POWER SYSTEM SALES
1PSM,Project Solution - Marine,CENTRAL SERVICES AREA,POWER SYSTEM SALES
2PSM,Project Solution - Marine,CENTRAL SERVICES AREA,POWER SYSTEM SALES
1PSO,Project Solution - Oil & Gas,CENTRAL SERVICES AREA,POWER SYSTEM SALES
2PSO,Project Solution - Oil & Gas,CENTRAL SERVICES AREA,POWER SYSTEM SALES
0PSG,EPG Gas,EPG GAS,POWER SYSTEM SALES
0PSE,EPG Non Gas,EPG NON GAS,POWER SYSTEM SALES
0PSM,Marine,MARINE,POWER SYSTEM SALES
0PSO,Oil and Gas,OIL AND GAS,POWER SYSTEM SALES
PSB,Power System Sales,POWER SYSTEM SALES,POWER SYSTEM SALES
1H34,Banjarmasin,CENTRAL SERVICES AREA,SOUTHERN KALIMANTAN
1H64,Batu Kajang,CENTRAL SERVICES AREA,SOUTHERN KALIMANTAN
1H45,Batu Licin,CENTRAL SERVICES AREA,SOUTHERN KALIMANTAN
1H04,Muara Teweh,CENTRAL SERVICES AREA,SOUTHERN KALIMANTAN
