PSL No.,PART NUMBER,DESCRIPTION,REQUIRED QUANTITY/SN
7100000035,,No parts needed for this program,0
7100000040,92A4608500,"Switch, Vacuum 45KPA",1
7100000040,92A4608600,"Switch, Vacuum 70KPA",1
7100000040,92B0402900,"Buzzer Assy, 12V",1
7100000040,92B0403100,"Bracket, Vacuum Buzzer",1
7100000040,F160004016,"Screw, Machine",2
7100000040,F250004000,"Washer, Plain",2
7100000040,F251504000,"Washer, Spring",2
7100000041,92B0402900,"Buzzer Assy, 12V",1
7100000041,92B0403100,"Bracket, Vacuum Buzzer",1
7100000041,F160004016,"Screw, Machine",2
7100000041,F250004000,"Washer, Plain",2
7100000041,F251504000,"Washer, Spring",2
LS44043,1550385,CLAMP RING,1
LS44043,1553537,BEARING,1
LS44043,8T4195,BOLT,6
PI11211,0T0573,BOLT-HEX HEAD,4
PI11211,1089656,STRAP-CABLE,4
PI11211,1257876,TUBE-BULK (10 CM),10
PI11211,1261767,PIN-CONNECTOR,8
PI11211,1261768,SOCKET-CONNECTOR,14
PI11211,1546457,WIRE-BULK (70 CM),70
PI11211,1552269,PLUG AS-CONN,2
PI11211,1729200,SUPRESSOR-ARC,1
PI11211,1984766,WASHER-HARD,4
PI11211,2830056,ADAPTER-CONN,4
PI11211,2975484,PLUG AS-CONN,2
PI11211,2L8075,TERMINAL,10
PI11211,3466809,TUBE-HEAT SHIELD,1
PI11211,4539924,RELAY AS,1
PI11211,5186001,TARGET,1
PI11211,5186002,TARGET,1
PI11211,5186008,BRACKET,1
PI11211,5186009,BRACKET,1
PI11211,5260318,SENSOR GP-POSN,2
PI11211,5F0304,PLUG-DRAIN,2
PI11211,5P5623,WIRE BK-ELEC (10 M),10
PI11211,6V2722,TUBE BK-ELEC (1 M),1
PI11211,6V9186,SETSCREW,4
PI11211,9X2506,TUBE-BULK (10 CM),10
PI11211,9X6772,STRAP-CABLE,4
PI11215,1D4626,BOLT,2
PI11215,1J2814,BOLT,1
PI11215,3S1349,WASHER-HARD,1
PI11215,7X0382,BOLT,7
PI11215,8C6913,WASHER-HAR,9
PI11223,0993649,BOLT-HEX HEAD,4
PI11223,3006714,MOUNT,8
PI11223,3E4353,WASHER-HARD,4
PI11223,4932832,BRACKET AS,1
PI11223,5831697,PLATE,1
PI11223,5P4116,WASHER-HARD,4
PI11223,5P7970,NUT-HEX,4
PI11223,8T4137,BOLT-HEX HEAD,4
PI11223,9N0869,WASHER-HARD,4
PI11225,0993649,BOLT-HEX HEAD,4
PI11225,3006714,MOUNT,8
PI11225,3E4353,WASHER-HARD,4
PI11225,4932832,BRACKET AS,1
PI11225,5831697,PLATE,1
PI11225,5P4116,WASHER-HARD,4
PI11225,5P7970,NUT-HEX,4
PI11225,8T4137,BOLT-HEX HEAD,4
PI11225,9N0869,WASHER-HARD,4
PI11230,1400860,STRAP AS-GROUND,1
PI11230,5B5492,WASHER,1
PI11230,5P4115,WASHER-HARD,1
PI11238,1123927,BOLT,7
PI11238,1984781,WASHER-HARD,14
PI11238,8T4131,NUT-HEX,7
PI11242,2M5795,PIN-CLEVIS,1
PI11242,3B4607,COTTER,1
PI11242,4401318,LADDER AS (After Failure Only),1
PI11242,5870327,PLATE,2
PI11242,8P0612,BRACKET,1
PI11242,9M3835,LATCH-RUBBER,1
PI33009,,5202974 SFWR GP-A4000,1
PI33009,,5202987 SFWR GP-A4000,1
PI33009,,5790215 SFWR GP-A4000,1
PI33009,,5790224 SFWR GP-A5000,1
PI33009,,5790229 SFWR GP-A4000,1
PI33031,2944550,BOSS,2
PI33031,5784298,MERCHANDISING AR (11m MAST) (SEE ACTION REQUIRED),1
PI33031,7T1099,LINK,16
PI33031,8Y3795,BOSS,4
PI33031,9R3761,BOSS,8
PI33032,5625762,VALVE GP-BANK 6,1
PI33036,No parts needed for this program,,0
PI33037,,No parts needed for this program,0
PI33041,5394754,KIT MA LINK,2
PI33048,,PLATE (DEALER FABRICATION),1
PI33056,1P3704,SEAL-RECTANGULAR,2
PI33056,2147568,SEAL-O-RING-STOR,2
PI33056,3096932,OIL,2
PI33056,3D2824,SEAL-O-RING-STOR,2
PI33056,5785789,PUMP GP-PS-BSC-V,1
PI33056,5K9090,SEAL-O-RING-ORFS,1
PI33056,6V9746,SEAL-O-RING-ORFS,9
PI33056,7M8485,SEAL-O-RING-STOR,4
PI33056,8T5049,SEAL-O RING,1
PI33057,2888997,BAR ASSEMBLY,1
