Warranty Claim,Transaction Type,Transaction Description,Posting Date,Registration Number,Registration Date,Currency,Settlement Number,Settlement Date,Status,Serial Number,Customer Name,Sales Office,Area,Region,Service Order,Job Control,Claim Class,Invoiced Parts,Invoiced Labor,Invoiced Travel,Invoiced Vehicle,Invoiced Misc,Invoiced Total,Expected Settle Parts,Expected Settle Labor,Expected Settle Travel,Expected Settle Vehicle,Expected Settle Misc,Claimed Parts,Claimed Labor,Claimed Travel,Claimed Vehicle,Claimed Misc,Claimed Total,Settled Total
0075000917,YW03,J248_Warranty_TR-1076 Hoist Cylinder,5/1/2020,,,IDR,,,In Process,ASK00613,PT. MADHANI TALATAH NUSANTARA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600180454,2W,G53,"12,917,481.00","38,670,000.00",0.00,0.00,"1,350,000.00","52,937,481.00","12,917,481.00",0.00,0.00,0.00,"675,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094126,YW01,Unsolicited Settlement CU%06110,5/2/2020,L8U0522,4/30/2020,USD,86SC 287497,5/1/2020,Closed,SZN10114,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,781.16","-1,781.16","-1,781.16"
0073094127,YW01,Unsolicited Settlement CU%06117,5/2/2020,L8U0529,4/30/2020,USD,86SC 287496,5/1/2020,Closed,SZN10119,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,781.16","-1,781.16","-1,781.16"
0073094128,YW01,Unsolicited Settlement CU%06120,5/2/2020,L8U0539,4/30/2020,USD,86SC 287506,5/1/2020,Closed,SZN10119,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,781.16","-1,781.16","-1,781.16"
0073094129,YW01,Unsolicited Settlement CU%06122,5/2/2020,L8U0541,4/30/2020,USD,86SC 287508,5/1/2020,Closed,XBA10928,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,737.03,-737.03,-737.03
0073094170,YW01,Unsolicited Settlement CU%06126,5/2/2020,L8U0546,4/30/2020,USD,86SC 287512,5/1/2020,Closed,SZN10156,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,781.16","-1,781.16","-1,781.16"
0073094171,YW01,Unsolicited Settlement EP%37640,5/2/2020,H5Z7188,4/29/2020,USD,86SC 287464,5/1/2020,Closed,SZN20185,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,790.00,-790.00,-790.00
0073094173,YW01,Repair engine cylinder block broken,5/4/2020,,,USD,,,Created,CNB00484,PT. PERUSAHAAN LISTRIK NEGARA (PERS,0B44,EAST INDONESIA,SORONG,8600186696,2W,E13,"67,282.19","15,236.43","1,365.76",0.00,"2,497.13","86,381.51","67,282.19","15,236.43",0.00,0.00,108.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094174,YW01,J22N_AIR COMPRESSOR FAILURE,5/4/2020,L8U1100,5/4/2020,USD,C86SC 156978,5/5/2020,Closed,FKR00796,PT. THIESS CONTRACTORS INDONESIA,0G27,NORTHERN KALIMANTAN,SAMARINDA,8600211208,2W,G27,"2,038.37",175.92,85.36,0.00,27.78,"2,327.43","2,038.37",0.00,0.00,0.00,0.00,"1,646.50",0.00,0.00,0.00,0.00,"2,038.37","2,038.37"
0073094175,YW01,J361_PI33112_Repl.Trans. software,5/4/2020,,,USD,,,In Process,SZM10141,PT. SAMUDRA MAJU PERKASA,0G38,NORTHERN KALIMANTAN,SANGATTA,8600194329,2X,G23,0.00,21.99,256.08,0.00,1.07,279.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094176,YW01,J361_WTY_BD6043_TRANS OIL MIX COOL,5/4/2020,,,USD,,,Created,T5X00550,PT. MADHANI TALATAH NUSANTARA,0G38,NORTHERN KALIMANTAN,SANGATTA,8600173696,2W,G27,"1,554.39","4,093.72",0.00,0.00,33.90,"5,682.01","1,554.39",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
